int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,int_11,int_12,int_13,int_14,int_15,int_16,label
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.999077,0.000923361,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.999081,0.000919118,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.999083,0.00091659,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998175,0.00182482,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00181818,0.998182,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998183,0.00181653,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.000902527,0.997292,0.00180505,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00180018,0.9955,0.00270027,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00447628,0.992838,0.00268577,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00448029,0.993728,0.00179211,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.0012837,0.996149,0.00256739,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.996159,0.00384123,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.997452,0.00254777,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00126103,0.998739,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00125156,0.998748,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00248756,0.997512,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998758,0.00124224,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998756,0.00124378,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998764,0.00123609,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00123916,0.996283,0.00247831,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.995043,0.00495663,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.997534,0.00246609,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00124224,0.997516,0.00124224,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00124533,0.997509,0.00124533,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998753,0.00124688,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00125628,0.996231,0.00251256,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.996212,0.00378788,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.996226,0.00377358,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998736,0.00126422,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.00127065,0.996188,0.0025413,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.997446,0.00255428,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.997429,0.00257069,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.99871,0.00129032,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998703,0.00129702,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998701,0.0012987,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,0.998701,0.0012987,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,blue
