int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,int_11,int_12,int_13,int_14,int_15,int_16,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red
