int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,int_11,int_12,int_13,int_14,int_15,int_16,label
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00225479,0.997745,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.0011274,0.998873,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00113122,0.998869,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00112867,0.998871,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00112867,0.998871,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00224719,0.997753,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00224215,0.997758,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0,0.00224215,0.997758,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
0.00111982,0.00223964,0.996641,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
